K,throughput_mean,throughput_ci,mean_TTFT_mean,mean_TTFT_ci,p95_TTFT_mean,p95_TTFT_ci,mean_TBT_mean,mean_TBT_ci,p95_TBT_mean,p95_TBT_ci
1,1.5098685476713871,0.05494075754756621,0.1796671710378366,0.01425482164766171,0.5214453495541409,0.032950094311725464,0.013293309649832882,0.0002484977650660112,0.01848852040174015,0.0010816729023688007
2,1.5233887391178351,0.11569175925538253,0.18905843787222093,0.01014594058521509,0.5279650999427712,0.03940029464567566,0.013494883122993661,0.00048278473170438577,0.018245389357892217,0.0015213756954777279
4,1.487961480930681,0.050181585731426705,0.19180999137741087,0.012688430505462282,0.5586836362138513,0.08634058076136296,0.013293690307165592,0.00029928047158693744,0.018648783066893344,0.00134041664535069
8,1.4884258090715332,0.09494509788915532,0.18345052764676173,0.013001423616617613,0.5154641920190376,0.058825567296302415,0.013225140180289988,0.0003148515965017049,0.017312250677283026,0.0012811457525756054
16,1.5205517195295726,0.06146541876414067,0.1812387591051124,0.023133352879865395,0.540028905700572,0.1604972211783933,0.013041512019093426,0.0003440864534047386,0.016907635269568688,0.0007177175047757309
