lambda,A_ttft_mean,A_ttft_ci,A_tbt_mean,A_tbt_ci,B_ttft_mean,B_ttft_ci,B_tbt_mean,B_tbt_ci
0.5,0.45247465516998964,0.04757775618226716,0.01098248534671865,0.0001156881975199635,0.1447727543568193,0.011123715352006477,0.011576104838755666,0.00012660789243628992
0.6666666666666666,0.6055529699281424,0.06084107684398836,0.010933651846610434,0.00010908522919047684,0.16529244464612144,0.014500011947503482,0.011654659599190669,0.00013389100381374597
0.8333333333333333,1.2741428258727554,0.11685744020394585,0.010953867600032658,0.00010880958049580016,0.15214706239516307,0.014317461983691812,0.011937172296898474,0.0001569594737432531
1.0,2.6261187161412827,0.18701038892904115,0.010989555715418209,0.00011106706035318205,0.15872923157813268,0.012309123787741943,0.012154706246540997,0.00015157181354189667
1.1666666666666665,13.389874842301442,0.7221519800611552,0.010929371060575928,0.00010452198205433561,0.1741035647951319,0.013430244237049336,0.012850860536530645,0.0001839220825340784
1.3333333333333333,17.603534751465894,0.8436025696561431,0.010979644844479716,0.00010805373446746508,0.1734997676930084,0.013775081613181459,0.012699927600739453,0.00016941804523347434
1.5,36.834059616386966,1.6994443156555492,0.010942421182360228,0.00010397851551100408,0.17036827420899636,0.013152901386755107,0.013172286534335161,0.00018205023696196015
1.6666666666666665,67.54801744117641,3.4254684077798534,0.011016079831563389,0.00011480303402374174,0.17622238821143615,0.01751443805453311,0.013298215679475497,0.00021541127551017686
1.8333333333333333,65.18911059222954,3.6362230396072244,0.010960573983490512,0.0001079560384977553,0.1967136796215065,0.014595357994838711,0.01405381287837857,0.00022034051410049473
2.0,85.61562814797949,4.200301201532988,0.011063068606906127,0.00011253579844725179,0.2040074628942196,0.01616708201958558,0.014368203215714683,0.00021029581550582733
