arrival_times,start_times,completion_times,ttft,tbt
1.2021043019829973,1.2021043019829973,1.8383157436032116,0.042879919298731695,0.009270805036273163
2.370199129895224,2.370199129895224,3.158457657795842,0.05108077276261147,0.011518402424031357
3.562579629832351,3.562579629832351,4.392632771996131,0.03006096405007641,0.01249987778302661
3.702476774758143,4.392632771996131,5.2017368993676545,0.7225406131638721,0.012136242366338116
3.745695474607331,5.2017368993676545,6.201150029016169,1.6688259459780457,0.01229107200673112
4.4720257324604065,6.201150029016169,7.100994333741202,1.8504439250152478,0.012164448066649172
5.1770060795891935,7.100994333741202,7.845169323657931,1.9859640551847102,0.010659362326312928
6.739154057863942,7.845169323657931,8.519831610038832,1.1595902295938068,0.009704489415329422
6.778801156455697,8.519831610038832,9.17385956531983,1.7650118080489152,0.009844478137737766
7.302081579727279,9.17385956531983,10.343201469109792,2.282128735068804,0.011859236786151703
7.337299733126183,10.343201469109792,11.125156873562604,3.0199316935666056,0.011998835107340854
7.881811547138162,11.125156873562604,11.91868088136928,3.291116156622805,0.01165239340012989
8.747475223580066,11.91868088136928,12.705380426367691,3.3160805109632605,0.010028510809755696
8.940922635875022,12.705380426367691,13.649585442127886,3.8885114376899708,0.0128148651337952
9.556715467205809,13.649585442127886,14.539098737310855,4.272860008413721,0.011086300963926972
9.633602094118922,14.539098737310855,15.340219428487824,5.0026703822764045,0.010999171126445263
9.679390727814019,15.340219428487824,16.23453469381781,5.945871359970269,0.009519884469273812
9.836980328880214,16.23453469381781,17.101777188146006,6.46976143245916,0.012422428543853609
10.287579966565293,17.101777188146006,17.950448987670228,6.88824479476726,0.012103503536526148
10.494072631434538,17.950448987670228,18.660165793184092,7.574541720546826,0.009242991268792602
11.117765606341349,18.660165793184092,19.395897991031116,7.6324019790071755,0.010089537588790502
11.22955379244751,19.395897991031116,20.201939881597536,8.367052650365027,0.009458334981015622
12.148538924519741,20.201939881597536,21.127819170402294,8.278281766583167,0.010953101239052902
12.762081856126871,21.127819170402294,21.82300744931103,8.381093176177734,0.010622381515725393
13.08997993310837,21.82300744931103,22.78201605138771,9.087148120069951,0.009451374972021708
13.29852328626428,22.78201605138771,23.39121744099496,9.49960345870266,0.009267042125437858
13.525183130913412,23.39121744099496,24.04343845455475,9.89397000068125,0.009754458171251371
13.563721704441239,24.04343845455475,24.778483111914234,10.49257216632233,0.011284206892979178
13.653537831628515,24.778483111914234,25.466228576620203,11.136885952587338,0.01055944988131799
13.996198057430641,25.466228576620203,26.17654036383174,11.650201776148974,0.00828344578518948
14.190538175510552,26.17654036383174,26.812588004051825,11.999016852434911,0.009734890251661927
14.822641604293105,26.812588004051825,27.55347583722023,12.000809283933377,0.01140663982802731
15.176886918001168,27.55347583722023,28.493728294983057,12.50705327455494,0.012652939100421085
15.295851895150177,28.493728294983057,29.678006848573716,13.660463691608927,0.011276425965853291
15.526396063278913,29.678006848573716,30.438904174398402,14.213271605854942,0.01092557039475855
15.84717443187417,30.438904174398402,31.21166751559807,14.63552250889683,0.011390165231672966
16.019091112593067,31.21166751559807,32.07515993250376,15.381934496262119,0.010533348807009006
16.18004672304622,32.07515993250376,32.8277749996731,15.99645370819196,0.010176165131795652
16.619504064142493,32.8277749996731,33.90159928695492,16.677401373616096,0.009448341393692652
16.767977668606893,33.90159928695492,35.16539692463979,17.547649081538854,0.01327765897646948
17.434828881122833,35.16539692463979,35.91122330029829,17.799749812476797,0.010572571979666504
18.130260874245785,35.91122330029829,36.51992052676428,17.808805417726276,0.00907584741862843
18.67230233822838,36.51992052676428,37.30786702401234,17.946935920049757,0.010759824464596904
18.708816512218597,37.30786702401234,38.23774670955217,18.687856068810568,0.013141783258171901
19.275850263079974,38.23774670955217,38.88251484853558,18.979877956507906,0.00979354107730778
19.95301925701256,38.88251484853558,39.676704056400254,18.959664904511026,0.011937810857447917
20.514039082741274,39.676704056400254,40.49032731634231,19.27248625210935,0.010996905960807648
20.654063642859484,40.49032731634231,41.272428780654266,19.89858365937709,0.011246585600276426
20.8145317383775,41.272428780654266,42.1903352902468,20.604773400109767,0.012047346121242697
20.897399692028298,42.1903352902468,43.06432391798581,21.39430938510154,0.012072106888374587
21.07458144837403,43.06432391798581,43.83689579700591,22.09962380239679,0.010354539784923246
21.085151326578924,43.83689579700591,44.81040098069525,22.926978424843796,0.012472987957383271
21.16882952463678,44.81040098069525,46.16886560305198,24.359786295315022,0.010003902860940255
21.82635794691036,46.16886560305198,46.79659663462889,24.383882441007348,0.009161816354862221
23.82423608250278,46.79659663462889,47.79453770102563,23.161344147187855,0.012639960489609345
24.106005128697095,47.79453770102563,48.64961581706027,23.758854007494183,0.01226182313857804
24.248024979497508,48.64961581706027,49.281504481322635,24.487551190968595,0.008530129857133258
24.446903106451124,49.281504481322635,50.20177120994656,24.903250429438877,0.013306526157133666
24.627574217918582,50.20177120994656,50.8587824619951,25.633937706073116,0.009332352156303103
24.692391019530383,50.8587824619951,51.92356435960655,26.4052953202113,0.01290434406038855
25.234053586966187,51.92356435960655,53.00440215984213,27.053842609247997,0.011195405681686688
25.92197801372491,53.00440215984213,53.83990123942952,27.16932009949172,0.011696923847076431
26.675882579046313,53.83990123942952,54.71021726772169,27.20783715805096,0.012914023916006493
29.3308239769262,54.71021726772169,55.7496229274485,25.73477554595053,0.010687865696433855
30.38415409431458,55.7496229274485,56.55912019408296,25.446260745896808,0.01138602115424325
31.206587014562373,56.55912019408296,57.16681280296829,25.38819356247955,0.008938003530099463
31.728332755550674,57.16681280296829,58.17488691984277,25.703201726259003,0.01161488184426706
